epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,756.161,1.84234,4.99876,1.66767,0.36071,0.16667,0.18343,0.15363,1.89243,13.1065,1.66536,7.5e-05,7.5e-05,7.5e-05
2,1571.88,1.6229,3.34009,1.46958,0.60702,0.32087,0.30295,0.21506,1.84953,5.85041,1.57006,0.000151094,0.000151094,0.000151094
3,5406.86,1.53367,2.73787,1.40298,0.7331,0.38224,0.35725,0.22248,1.8428,3.62687,1.57621,0.000221825,0.000221825,0.000221825
4,6208.22,1.4746,2.30772,1.37118,0.494,0.4533,0.37992,0.29132,1.83202,3.94214,1.5791,0.000287194,0.000287194,0.000287194
5,10394,1.47437,2.21733,1.40446,0.55425,0.50019,0.53346,0.33564,1.91008,3.10826,1.60433,0.0003472,0.0003472,0.0003472
6,11305.2,1.41015,1.99396,1.36614,0.41042,0.44186,0.42496,0.26462,1.97097,3.34287,1.64991,0.000401844,0.000401844,0.000401844
7,12175.8,1.40733,1.96202,1.37426,0.63909,0.38252,0.44606,0.27066,2.00702,3.17131,1.71401,0.000451125,0.000451125,0.000451125
